"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","MSM_percent","imputed","prop","prop_med"
"1","Australia and New Zealand","New Zealand","NZL",37.5,84.5201944,"Oceania",5185.288,1.63,37.5,0.723199945692505,1.63
"2","Australia and New Zealand","Australia","AUS",263.5,426.6918319,"Oceania",26177.413,1.63,263.5,1.00659297387408,1.63
"3","Central Asia","Turkmenistan","TKM",NA,135.689247,"Asia",6430.77,2.11,135.689247,2.11,2.11
"4","Central Asia","Tajikistan","TJK",13.4,210.0038057,"Asia",9952.787,2.11,13.4,0.13463565531946,2.11
"5","Central Asia","Kyrgyzstan","KGZ",16.9,139.9061453,"Asia",6630.623,2.11,16.9,0.254878010708798,2.11
"6","Central Asia","Uzbekistan","UZB",NA,730.6434572,"Asia",34627.652,2.11,730.6434572,2.11,2.11
"7","Central Asia","Kazakhstan","KAZ",62,409.2977578,"Asia",19397.998,2.11,62,0.319620612395155,2.11
"8","Eastern Asia","Korea, Republic of","KOR",NA,NA,"Asia",51815.81,1.63,844.597703,1.63,1.63
"9","Eastern Asia","Macao","MAC",NA,NA,"Asia",695.168,1.63,11.3312384,1.63,1.63
"10","Eastern Asia","Japan","JPN",700,2020.4125796,"Asia",123951.692,1.63,700,0.564736139301753,1.63
"11","Eastern Asia","Korea (Democratic People's Republic of)","PRK",NA,NA,"Asia",26069.416,1.63,424.9314808,1.63,1.63
"12","Eastern Asia","Mongolia","MNG",6.5,55.3933658,"Asia",3398.366,1.63,6.5,0.191268391927179,1.63
"13","Eastern Asia","Hong Kong","HKG",NA,122.0684995,"Asia",7488.865,1.63,122.0684995,1.63,1.63
"14","Eastern Asia","China","CHN",NA,23241.9635931,"Asia",1425887.337,1.63,23241.9635931,1.63,1.63
"15","Eastern Asia","Taiwan, Province of China","TWN",NA,NA,"Asia",23893.394,1.63,389.4623222,1.63,1.63
"16","Eastern Europe","Bulgaria","BGR",57.8,143.0992083,"Europe",6781.953,2.11,57.8,0.852261877957573,2.11
"17","Eastern Europe","Slovakia","SVK",NA,119.0768583,"Europe",5643.453,2.11,119.0768583,2.11,2.11
"18","Eastern Europe","Russian Federation","RUS",NA,NA,"Europe",144713.314,2.11,3053.4509254,2.11,2.11
"19","Eastern Europe","Belarus","BLR",32,201.1875294,"Europe",9534.954,2.11,32,0.335607282426323,2.11
"20","Eastern Europe","Romania","ROU",10.5,414.8105337,"Europe",19659.267,2.11,10.5,0.0534099262195279,2.11
"21","Eastern Europe","Czechia","CZE",NA,NA,"Europe",10493.986,2.11,221.4231046,2.11,2.11
"22","Eastern Europe","Moldova, Republic of","MDA",14.6,NA,"Europe",3272.996,2.11,14.6,0.446074483439638,2.11
"23","Eastern Europe","Ukraine","UKR",179.4,837.7066929,"Europe",39701.739,2.11,179.4,0.451869375293611,2.11
"24","Eastern Europe","Poland","POL",NA,840.9857595,"Europe",39857.145,2.11,840.9857595,2.11,2.11
"25","Eastern Europe","Hungary","HUN",NA,210.3101988,"Europe",9967.308,2.11,210.3101988,2.11,2.11
"26","Latin America and the Caribbean","Curaçao","CUW",NA,NA,"Americas",191.163,3.37,6.4421931,3.37,3.37
"27","Latin America and the Caribbean","Ecuador","ECU",89.4,606.6337,"Americas",18001,3.37,89.4,0.496639075606911,3.37
"28","Latin America and the Caribbean","Bahamas","BHS",2.8,13.8164608,"Americas",409.984,3.37,2.8,0.682953481111458,3.37
"29","Latin America and the Caribbean","Guatemala","GTM",116.5,601.3396996,"Americas",17843.908,3.37,116.5,0.652883886198024,3.37
"30","Latin America and the Caribbean","Guyana","GUY",3.3,27.2540662,"Americas",808.726,3.37,3.3,0.408049203314843,3.37
"31","Latin America and the Caribbean","French Guiana","GUF",NA,10.2635709,"Americas",304.557,3.37,10.2635709,3.37,3.37
"32","Latin America and the Caribbean","Panama","PAN",29.6,148.5691797,"Americas",4408.581,3.37,29.6,0.671417855314442,3.37
"33","Latin America and the Caribbean","Honduras","HND",40.9,351.587382,"Americas",10432.86,3.37,40.9,0.392030564964928,3.37
"34","Latin America and the Caribbean","Cayman Islands","CYM",NA,2.3153922,"Americas",68.706,3.37,2.3153922,3.37,3.37
"35","Latin America and the Caribbean","Montserrat","MSR",NA,0.147943,"Americas",4.39,3.37,0.147943,3.37,3.37
"36","Latin America and the Caribbean","Bolivia (Plurinational State of)","BOL",35.5,NA,"Americas",12224.11,3.37,35.5,0.290409690357826,3.37
"37","Latin America and the Caribbean","Argentina","ARG",205.6,1533.6977166,"Americas",45510.318,3.37,205.6,0.451765685311186,3.37
"38","Latin America and the Caribbean","Falkland Islands (Malvinas)","FLK",NA,NA,"Americas",3.78,3.37,0.127386,3.37,3.37
"39","Latin America and the Caribbean","Anguilla","AIA",NA,0.5343809,"Americas",15.857,3.37,0.5343809,3.37,3.37
"40","Latin America and the Caribbean","Cuba","CUB",279.2,377.8508367,"Americas",11212.191,3.37,279.2,2.49014666268172,3.37
"41","Latin America and the Caribbean","Venezuela (Bolivarian Republic of)","VEN",210.8,NA,"Americas",28301.696,3.37,210.8,0.744831687825352,3.37
"42","Latin America and the Caribbean","Antigua and Barbuda","ATG",NA,3.1598131,"Americas",93.763,3.37,3.1598131,3.37,3.37
"43","Latin America and the Caribbean","Dominican Republic","DOM",142,378.4112677,"Americas",11228.821,3.37,142,1.26460293560651,3.37
"44","Latin America and the Caribbean","Uruguay","URY",28.6,115.3481578,"Americas",3422.794,3.37,28.6,0.835574679633072,3.37
"45","Latin America and the Caribbean","Aruba","ABW",NA,3.5871965,"Americas",106.445,3.37,3.5871965,3.37,3.37
"46","Latin America and the Caribbean","Costa Rica","CRI",10.1,174.5939373,"Americas",5180.829,3.37,10.1,0.194949495534402,3.37
"47","Latin America and the Caribbean","Peru","PER",260,1147.4711156,"Americas",34049.588,3.37,260,0.763592205579697,3.37
"48","Latin America and the Caribbean","Virgin Islands (British)","VGB",NA,NA,"Americas",31.305,3.37,1.0549785,3.37,3.37
"49","Latin America and the Caribbean","Saint Martin (French part)","MAF",NA,NA,"Americas",31.791,3.37,1.0713567,3.37,3.37
"50","Latin America and the Caribbean","Barbados","BRB",2.6,9.4910995,"Americas",281.635,3.37,2.6,0.923180712624496,3.37
"51","Latin America and the Caribbean","Brazil","BRA",2000,7256.0648826,"Americas",215313.498,3.37,2000,0.928878132851662,3.37
"52","Latin America and the Caribbean","Martinique","MTQ",NA,12.3849859,"Americas",367.507,3.37,12.3849859,3.37,3.37
"53","Latin America and the Caribbean","Saint Barthélemy","BLM",NA,NA,"Americas",10.967,3.37,0.3695879,3.37,3.37
"54","Latin America and the Caribbean","Belize","BLZ",NA,13.6576664,"Americas",405.272,3.37,13.6576664,3.37,3.37
"55","Latin America and the Caribbean","Guadeloupe","GLP",NA,13.3368424,"Americas",395.752,3.37,13.3368424,3.37,3.37
"56","Latin America and the Caribbean","Mexico","MEX",1200,4296.8890125,"Americas",127504.125,3.37,1200,0.941146021746355,3.37
"57","Latin America and the Caribbean","Saint Lucia","LCA",3,6.0611809,"Americas",179.857,3.37,3,1.66799179348038,3.37
"58","Latin America and the Caribbean","El Salvador","SLV",54.1,213.5364104,"Americas",6336.392,3.37,54.1,0.853798186728346,3.37
"59","Latin America and the Caribbean","Saint Kitts and Nevis","KNA",NA,1.6060409,"Americas",47.657,3.37,1.6060409,3.37,3.37
"60","Latin America and the Caribbean","Sint Maarten (Dutch part)","SXM",NA,NA,"Americas",44.175,3.37,1.4886975,3.37,3.37
"61","Latin America and the Caribbean","Puerto Rico","PRI",NA,109.6061159,"Americas",3252.407,3.37,109.6061159,3.37,3.37
"62","Latin America and the Caribbean","Virgin Islands (U.S.)","VIR",NA,NA,"Americas",99.465,3.37,3.3519705,3.37,3.37
"63","Latin America and the Caribbean","Chile","CHL",122.6,660.6458021,"Americas",19603.733,3.37,122.6,0.625391092604658,3.37
"64","Latin America and the Caribbean","Jamaica","JAM",42.4,95.2826049,"Americas",2827.377,3.37,42.4,1.49962314894689,3.37
"65","Latin America and the Caribbean","Grenada","GRD",2.4,4.2272606,"Americas",125.438,3.37,2.4,1.91329581147659,3.37
"66","Latin America and the Caribbean","Saint Vincent and the Grenadines","VCT",0.3,3.5030476,"Americas",103.948,3.37,0.3,0.28860584138223,3.37
"67","Latin America and the Caribbean","Colombia","COL",356.7,1748.1546088,"Americas",51874.024,3.37,356.7,0.687627395167955,3.37
"68","Latin America and the Caribbean","Dominica","DMA",0.5,2.4512369,"Americas",72.737,3.37,0.5,0.687408059172086,3.37
"69","Latin America and the Caribbean","Trinidad and Tobago","TTO",NA,51.5961828,"Americas",1531.044,3.37,51.5961828,3.37,3.37
"70","Latin America and the Caribbean","Nicaragua","NIC",35.5,234.1608104,"Americas",6948.392,3.37,35.5,0.510909574474209,3.37
"71","Latin America and the Caribbean","Paraguay","PRY",27.7,228.5110728,"Americas",6780.744,3.37,27.7,0.408509744653389,3.37
"72","Latin America and the Caribbean","Haiti","HTI",30.9,390.4143652,"Americas",11584.996,3.37,30.9,0.266724304436532,3.37
"73","Latin America and the Caribbean","Suriname","SUR",1.3,20.827948,"Americas",618.04,3.37,1.3,0.210342372661964,3.37
"74","Latin America and the Caribbean","Turks and Caicos Islands","TCA",NA,1.5401911,"Americas",45.703,3.37,1.5401911,3.37,3.37
"75","Melanesia","New Caledonia","NCL",NA,4.726185,"Oceania",289.95,1.63,4.726185,1.63,1.63
"76","Melanesia","Solomon Islands","SLB",0.2,11.8056499,"Oceania",724.273,1.63,0.2,0.027613896969789,1.63
"77","Melanesia","Papua New Guinea","PNG",37.8,165.3246897,"Oceania",10142.619,1.63,37.8,0.37268480655736,1.63
"78","Melanesia","Vanuatu","VUT",NA,5.325862,"Oceania",326.74,1.63,5.325862,1.63,1.63
"79","Melanesia","Fiji","FJI",NA,15.1551858,"Oceania",929.766,1.63,15.1551858,1.63,1.63
"80","Micronesia","Micronesia (Federated States of)","FSM",NA,NA,"Oceania",114.164,1.63,1.8608732,1.63,1.63
"81","Micronesia","Guam","GUM",NA,2.7999162,"Oceania",171.774,1.63,2.7999162,1.63,1.63
"82","Micronesia","Kiribati","KIR",NA,2.1390816,"Oceania",131.232,1.63,2.1390816,1.63,1.63
"83","Micronesia","Palau","PLW",NA,0.2942965,"Oceania",18.055,1.63,0.2942965,1.63,1.63
"84","Micronesia","Northern Mariana Islands","MNP",NA,0.8076813,"Oceania",49.551,1.63,0.8076813,1.63,1.63
"85","Micronesia","Marshall Islands","MHL",NA,0.6775747,"Oceania",41.569,1.63,0.6775747,1.63,1.63
"86","Micronesia","Nauru","NRU",NA,0.2064884,"Oceania",12.668,1.63,0.2064884,1.63,1.63
"87","Northern Africa","Morocco","MAR",42,382.0713042,"Africa",37457.971,1.02,42,0.112125667458069,1.02
"88","Northern Africa","Tunisia","TUN",28,126.0323934,"Africa",12356.117,1.02,28,0.226608407803196,1.02
"89","Northern Africa","Sudan","SDN",132,478.1168808,"Africa",46874.204,1.02,132,0.281604782024672,1.02
"90","Northern Africa","Libya","LBY",NA,69.4858782,"Africa",6812.341,1.02,69.4858782,1.02,1.02
"91","Northern Africa","Egypt","EGY",64.3,1132.0990506,"Africa",110990.103,1.02,64.3,0.0579330933677933,1.02
"92","Northern Africa","Algeria","DZA",NA,458.012895,"Africa",44903.225,1.02,458.012895,1.02,1.02
"93","Northern Africa","Western Sahara","ESH",NA,5.8750572,"Africa",575.986,1.02,5.8750572,1.02,1.02
"94","Northern America","Bermuda","BMU",NA,NA,"Americas",64.184,NA,0.718819322375309,1.11993537700254,1.11993537700254
"95","Northern America","United States of America","USA",4500,NA,"Americas",338289.857,NA,4500,1.33022019634482,1.11993537700254
"96","Northern America","Saint Pierre and Miquelon","SPM",NA,NA,"Americas",5.862,NA,0.0656506117998888,1.11993537700254,1.11993537700254
"97","Northern America","Canada","CAN",349.8,NA,"Americas",38454.327,NA,349.8,0.90965055766026,1.11993537700254
"98","Northern America","Greenland","GRL",NA,NA,"Americas",56.466,NA,0.632382709978253,1.11993537700254,1.11993537700254
"99","Northern Europe","Latvia","LVA",NA,NA,"Europe",1850.651,NA,16.6367904182378,0.898969628430091,0.898969628430091
"100","Northern Europe","Denmark","DNK",50,NA,"Europe",5882.261,NA,50,0.850013285707656,0.898969628430091
"101","Northern Europe","Estonia","EST",9,NA,"Europe",1326.062,NA,9,0.678701297526058,0.898969628430091
"102","Northern Europe","Norway","NOR",NA,NA,"Europe",5434.319,NA,48.8528773220059,0.898969628430091,0.898969628430091
"103","Northern Europe","Isle of Man","IMN",NA,NA,"Europe",84.519,NA,0.759800140252829,0.898969628430091,0.898969628430091
"104","Northern Europe","Faroe Islands","FRO",NA,NA,"Europe",53.09,NA,0.477262975733536,0.898969628430091,0.898969628430091
"105","Northern Europe","United Kingdom of Great Britain and Northern Ireland","GBR",NA,NA,"Europe",67508.936,NA,606.884831116308,0.898969628430091,0.898969628430091
"106","Northern Europe","Sweden","SWE",100,NA,"Europe",10549.347,NA,100,0.947925971152527,0.898969628430091
"107","Northern Europe","Ireland","IRL",86.5,NA,"Europe",5023.109,NA,86.5,1.72204107057999,0.898969628430091
"108","Northern Europe","Finland","FIN",NA,NA,"Europe",5540.745,NA,49.8096147387589,0.898969628430091,0.898969628430091
"109","Northern Europe","Guernsey","GGY",NA,NA,"Europe",63.301,NA,0.569056764492532,0.898969628430091,0.898969628430091
"110","Northern Europe","Lithuania","LTU",NA,NA,"Europe",2750.055,NA,24.7221592151231,0.898969628430091,0.898969628430091
"111","Northern Europe","Iceland","ISL",NA,NA,"Europe",372.899,NA,3.35224875471953,0.898969628430091,0.898969628430091
"112","Northern Europe","Jersey","JEY",NA,NA,"Europe",110.778,NA,0.995860574982287,0.898969628430091,0.898969628430091
"113","Polynesia","Tonga","TON",NA,1.7417854,"Oceania",106.858,1.63,1.7417854,1.63,1.63
