"","iso_code","location","date","new_cases","weight","imputed","pop2022","region","sub_region"
"1","BEN","Benin",2022-06-05,0.0442226633769781,0.014740887792326,5.8,13352.864,"Africa","Sub-Saharan Africa"
"2","BEN","Benin",2022-06-06,0.148795516676394,0.0495985055587979,5.8,13352.864,"Africa","Sub-Saharan Africa"
"3","BEN","Benin",2022-06-07,0.367453772472134,0.122484590824045,5.8,13352.864,"Africa","Sub-Saharan Africa"
"4","BEN","Benin",2022-06-08,0.648457665184378,0.216152555061459,5.8,13352.864,"Africa","Sub-Saharan Africa"
"5","BEN","Benin",2022-06-09,0.788699914671611,0.262899971557204,5.8,13352.864,"Africa","Sub-Saharan Africa"
"6","BEN","Benin",2022-06-10,0.627566381346555,0.209188793782185,5.8,13352.864,"Africa","Sub-Saharan Africa"
"7","BEN","Benin",2022-06-11,0.300702648564632,0.100234216188211,5.8,13352.864,"Africa","Sub-Saharan Africa"
"8","BEN","Benin",2022-06-12,0.074101437707319,0.024700479235773,5.8,13352.864,"Africa","Sub-Saharan Africa"
"9","BHR","Bahrain",2022-09-07,0.0123033199277302,0.0123033199277302,15.0167766,1472.233,"Middle East","Western Asia"
"10","BHR","Bahrain",2022-09-08,0.0436125806397964,0.0436125806397964,15.0167766,1472.233,"Middle East","Western Asia"
"11","BHR","Bahrain",2022-09-09,0.113020479260707,0.113020479260707,15.0167766,1472.233,"Middle East","Western Asia"
"12","BHR","Bahrain",2022-09-10,0.20873971997604,0.20873971997604,15.0167766,1472.233,"Middle East","Western Asia"
"13","BHR","Bahrain",2022-09-11,0.265023666596585,0.265023666596585,15.0167766,1472.233,"Middle East","Western Asia"
"14","BHR","Bahrain",2022-09-12,0.21964735345222,0.21964735345222,15.0167766,1472.233,"Middle East","Western Asia"
"15","BHR","Bahrain",2022-09-13,0.109515628127146,0.109515628127146,15.0167766,1472.233,"Middle East","Western Asia"
"16","BHR","Bahrain",2022-09-14,0.0281372520197753,0.0281372520197753,15.0167766,1472.233,"Middle East","Western Asia"
"17","BHS","Bahamas",2022-06-15,0.014740887792326,0.014740887792326,2.8,409.984,"Americas","Latin America and the Caribbean"
"18","BHS","Bahamas",2022-06-16,0.0495985055587979,0.0495985055587979,2.8,409.984,"Americas","Latin America and the Caribbean"
"19","BHS","Bahamas",2022-06-17,0.122484590824045,0.122484590824045,2.8,409.984,"Americas","Latin America and the Caribbean"
"20","BHS","Bahamas",2022-06-18,0.216152555061459,0.216152555061459,2.8,409.984,"Americas","Latin America and the Caribbean"
"21","BHS","Bahamas",2022-06-19,0.262899971557204,0.262899971557204,2.8,409.984,"Americas","Latin America and the Caribbean"
"22","BHS","Bahamas",2022-06-20,0.209188793782185,0.209188793782185,2.8,409.984,"Americas","Latin America and the Caribbean"
"23","BHS","Bahamas",2022-06-21,0.100234216188211,0.100234216188211,2.8,409.984,"Americas","Latin America and the Caribbean"
"24","BHS","Bahamas",2022-06-22,0.024700479235773,0.024700479235773,2.8,409.984,"Americas","Latin America and the Caribbean"
"25","BOL","Bolivia",2022-07-23,0.014740887792326,0.014740887792326,35.5,12224.11,"Americas","Latin America and the Caribbean"
"26","BOL","Bolivia",2022-07-24,0.0495985055587979,0.0495985055587979,35.5,12224.11,"Americas","Latin America and the Caribbean"
"27","BOL","Bolivia",2022-07-25,0.122484590824045,0.122484590824045,35.5,12224.11,"Americas","Latin America and the Caribbean"
"28","BOL","Bolivia",2022-07-26,0.216152555061459,0.216152555061459,35.5,12224.11,"Americas","Latin America and the Caribbean"
"29","BOL","Bolivia",2022-07-27,0.262899971557204,0.262899971557204,35.5,12224.11,"Americas","Latin America and the Caribbean"
"30","BOL","Bolivia",2022-07-28,0.209188793782185,0.209188793782185,35.5,12224.11,"Americas","Latin America and the Caribbean"
"31","BOL","Bolivia",2022-07-29,0.100234216188211,0.100234216188211,35.5,12224.11,"Americas","Latin America and the Caribbean"
"32","BOL","Bolivia",2022-07-30,0.024700479235773,0.024700479235773,35.5,12224.11,"Americas","Latin America and the Caribbean"
"33","CHE","Switzerland",2022-05-10,0.014740887792326,0.014740887792326,80,8740.472,"Europe","Western Europe"
"34","CHE","Switzerland",2022-05-11,0.0495985055587979,0.0495985055587979,80,8740.472,"Europe","Western Europe"
"35","CHE","Switzerland",2022-05-12,0.122484590824045,0.122484590824045,80,8740.472,"Europe","Western Europe"
"36","CHE","Switzerland",2022-05-13,0.216152555061459,0.216152555061459,80,8740.472,"Europe","Western Europe"
"37","CHE","Switzerland",2022-05-14,0.262899971557204,0.262899971557204,80,8740.472,"Europe","Western Europe"
"38","CHE","Switzerland",2022-05-15,0.209188793782185,0.209188793782185,80,8740.472,"Europe","Western Europe"
"39","CHE","Switzerland",2022-05-16,0.100234216188211,0.100234216188211,80,8740.472,"Europe","Western Europe"
"40","CHE","Switzerland",2022-05-17,0.024700479235773,0.024700479235773,80,8740.472,"Europe","Western Europe"
"41","EGY","Egypt",2022-08-29,0.014740887792326,0.014740887792326,64.3,110990.103,"Africa","Northern Africa"
"42","EGY","Egypt",2022-08-30,0.0495985055587979,0.0495985055587979,64.3,110990.103,"Africa","Northern Africa"
"43","EGY","Egypt",2022-08-31,0.122484590824045,0.122484590824045,64.3,110990.103,"Africa","Northern Africa"
"44","EGY","Egypt",2022-09-01,0.216152555061459,0.216152555061459,64.3,110990.103,"Africa","Northern Africa"
"45","EGY","Egypt",2022-09-02,0.262899971557204,0.262899971557204,64.3,110990.103,"Africa","Northern Africa"
"46","EGY","Egypt",2022-09-03,0.209188793782185,0.209188793782185,64.3,110990.103,"Africa","Northern Africa"
"47","EGY","Egypt",2022-09-04,0.100234216188211,0.100234216188211,64.3,110990.103,"Africa","Northern Africa"
"48","EGY","Egypt",2022-09-05,0.024700479235773,0.024700479235773,64.3,110990.103,"Africa","Northern Africa"
"49","GUM","Guam",2022-09-02,0.0132137371074592,0.0132137371074592,2.7999162,171.774,"Oceania","Micronesia"
"50","GUM","Guam",2022-09-03,0.0452465047190751,0.0452465047190751,2.7999162,171.774,"Oceania","Micronesia"
"51","GUM","Guam",2022-09-04,0.114080496268977,0.114080496268977,2.7999162,171.774,"Oceania","Micronesia"
"52","GUM","Guam",2022-09-05,0.206809600710591,0.206809600710591,2.7999162,171.774,"Oceania","Micronesia"
"53","GUM","Guam",2022-09-06,0.262087279704917,0.262087279704917,2.7999162,171.774,"Oceania","Micronesia"
"54","GUM","Guam",2022-09-07,0.219613132309005,0.219613132309005,2.7999162,171.774,"Oceania","Micronesia"
"55","GUM","Guam",2022-09-08,0.11061772846482,0.11061772846482,2.7999162,171.774,"Oceania","Micronesia"
"56","GUM","Guam",2022-09-09,0.0283315207151564,0.0283315207151564,2.7999162,171.774,"Oceania","Micronesia"
"57","IND","India",2022-07-05,0.014740887792326,0.014740887792326,23099.9227199,1417173.173,"Asia","Southern Asia"
"58","IND","India",2022-07-06,0.0495985055587979,0.0495985055587979,23099.9227199,1417173.173,"Asia","Southern Asia"
"59","IND","India",2022-07-07,0.122484590824045,0.122484590824045,23099.9227199,1417173.173,"Asia","Southern Asia"
"60","IND","India",2022-07-08,0.216152555061459,0.216152555061459,23099.9227199,1417173.173,"Asia","Southern Asia"
"61","IND","India",2022-07-09,0.262899971557204,0.262899971557204,23099.9227199,1417173.173,"Asia","Southern Asia"
"62","IND","India",2022-07-10,0.209188793782185,0.209188793782185,23099.9227199,1417173.173,"Asia","Southern Asia"
"63","IND","India",2022-07-11,0.100234216188211,0.100234216188211,23099.9227199,1417173.173,"Asia","Southern Asia"
"64","IND","India",2022-07-12,0.024700479235773,0.024700479235773,23099.9227199,1417173.173,"Asia","Southern Asia"
"65","IRN","Iran",2022-08-07,0.014740887792326,0.014740887792326,1443.374291,88550.57,"Asia","Southern Asia"
"66","IRN","Iran",2022-08-08,0.0495985055587979,0.0495985055587979,1443.374291,88550.57,"Asia","Southern Asia"
"67","IRN","Iran",2022-08-09,0.122484590824045,0.122484590824045,1443.374291,88550.57,"Asia","Southern Asia"
"68","IRN","Iran",2022-08-10,0.216152555061459,0.216152555061459,1443.374291,88550.57,"Asia","Southern Asia"
"69","IRN","Iran",2022-08-11,0.262899971557204,0.262899971557204,1443.374291,88550.57,"Asia","Southern Asia"
"70","IRN","Iran",2022-08-12,0.209188793782185,0.209188793782185,1443.374291,88550.57,"Asia","Southern Asia"
"71","IRN","Iran",2022-08-13,0.100234216188211,0.100234216188211,1443.374291,88550.57,"Asia","Southern Asia"
"72","IRN","Iran",2022-08-14,0.024700479235773,0.024700479235773,1443.374291,88550.57,"Asia","Southern Asia"
"73","ISL","Iceland",2022-06-04,0.0294817755846521,0.014740887792326,3.35224875471953,372.899,"Europe","Northern Europe"
"74","ISL","Iceland",2022-06-05,0.0991970111175957,0.0495985055587979,3.35224875471953,372.899,"Europe","Northern Europe"
"75","ISL","Iceland",2022-06-06,0.244969181648089,0.122484590824045,3.35224875471953,372.899,"Europe","Northern Europe"
"76","ISL","Iceland",2022-06-07,0.432305110122918,0.216152555061459,3.35224875471953,372.899,"Europe","Northern Europe"
"77","ISL","Iceland",2022-06-08,0.525799943114407,0.262899971557204,3.35224875471953,372.899,"Europe","Northern Europe"
"78","ISL","Iceland",2022-06-09,0.41837758756437,0.209188793782185,3.35224875471953,372.899,"Europe","Northern Europe"
"79","ISL","Iceland",2022-06-10,0.200468432376421,0.100234216188211,3.35224875471953,372.899,"Europe","Northern Europe"
"80","ISL","Iceland",2022-06-11,0.049400958471546,0.024700479235773,3.35224875471953,372.899,"Europe","Northern Europe"
"81","JOR","Jordan",2022-08-30,0.0147408764982653,0.0147408764982653,115.1158638,11285.869,"Middle East","Western Asia"
"82","JOR","Jordan",2022-08-31,0.0495984696658689,0.0495984696658689,115.1158638,11285.869,"Middle East","Western Asia"
"83","JOR","Jordan",2022-09-01,0.122484507539061,0.122484507539061,115.1158638,11285.869,"Middle East","Western Asia"
"84","JOR","Jordan",2022-09-02,0.216152418935748,0.216152418935748,115.1158638,11285.869,"Middle East","Western Asia"
"85","JOR","Jordan",2022-09-03,0.26289982438179,0.26289982438179,115.1158638,11285.869,"Middle East","Western Asia"
"86","JOR","Jordan",2022-09-04,0.209188706523993,0.209188706523993,115.1158638,11285.869,"Middle East","Western Asia"
"87","JOR","Jordan",2022-09-05,0.100234240969731,0.100234240969731,115.1158638,11285.869,"Middle East","Western Asia"
"88","JOR","Jordan",2022-09-06,0.0247009554855431,0.0247009554855431,115.1158638,11285.869,"Middle East","Western Asia"
"89","MCO","Monaco",2022-07-12,0.014740887792326,0.014740887792326,0.330935797329627,36.469,"Europe","Western Europe"
"90","MCO","Monaco",2022-07-13,0.0495985055587979,0.0495985055587979,0.330935797329627,36.469,"Europe","Western Europe"
"91","MCO","Monaco",2022-07-14,0.122484590824045,0.122484590824045,0.330935797329627,36.469,"Europe","Western Europe"
"92","MCO","Monaco",2022-07-15,0.216152555061459,0.216152555061459,0.330935797329627,36.469,"Europe","Western Europe"
"93","MCO","Monaco",2022-07-16,0.262899971557204,0.262899971557204,0.330935797329627,36.469,"Europe","Western Europe"
"94","MCO","Monaco",2022-07-17,0.209188793782185,0.209188793782185,0.330935797329627,36.469,"Europe","Western Europe"
"95","MCO","Monaco",2022-07-18,0.100234216188211,0.100234216188211,0.330935797329627,36.469,"Europe","Western Europe"
"96","MCO","Monaco",2022-07-19,0.024700479235773,0.024700479235773,0.330935797329627,36.469,"Europe","Western Europe"
"97","MNE","Montenegro",2022-07-23,0.014740887792326,0.014740887792326,3.47348181403377,627.082,"Europe","Southern Europe"
"98","MNE","Montenegro",2022-07-24,0.0495985055587979,0.0495985055587979,3.47348181403377,627.082,"Europe","Southern Europe"
"99","MNE","Montenegro",2022-07-25,0.122484590824045,0.122484590824045,3.47348181403377,627.082,"Europe","Southern Europe"
"100","MNE","Montenegro",2022-07-26,0.216152555061459,0.216152555061459,3.47348181403377,627.082,"Europe","Southern Europe"
"101","MNE","Montenegro",2022-07-27,0.262899971557204,0.262899971557204,3.47348181403377,627.082,"Europe","Southern Europe"
"102","MNE","Montenegro",2022-07-28,0.209188793782185,0.209188793782185,3.47348181403377,627.082,"Europe","Southern Europe"
"103","MNE","Montenegro",2022-07-29,0.100234216188211,0.100234216188211,3.47348181403377,627.082,"Europe","Southern Europe"
"104","MNE","Montenegro",2022-07-30,0.024700479235773,0.024700479235773,3.47348181403377,627.082,"Europe","Southern Europe"
"105","MTQ","Martinique",2022-07-06,0.014740887792326,0.014740887792326,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"106","MTQ","Martinique",2022-07-07,0.0495985055587979,0.0495985055587979,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"107","MTQ","Martinique",2022-07-08,0.122484590824045,0.122484590824045,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"108","MTQ","Martinique",2022-07-09,0.216152555061459,0.216152555061459,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"109","MTQ","Martinique",2022-07-10,0.262899971557204,0.262899971557204,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"110","MTQ","Martinique",2022-07-11,0.209188793782185,0.209188793782185,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"111","MTQ","Martinique",2022-07-12,0.100234216188211,0.100234216188211,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"112","MTQ","Martinique",2022-07-13,0.024700479235773,0.024700479235773,12.3849859,367.507,"Americas","Latin America and the Caribbean"
"113","NCL","New Caledonia",2022-07-03,0.014740887792326,0.014740887792326,4.726185,289.95,"Oceania","Melanesia"
"114","NCL","New Caledonia",2022-07-04,0.0495985055587979,0.0495985055587979,4.726185,289.95,"Oceania","Melanesia"
"115","NCL","New Caledonia",2022-07-05,0.122484590824045,0.122484590824045,4.726185,289.95,"Oceania","Melanesia"
"116","NCL","New Caledonia",2022-07-06,0.216152555061459,0.216152555061459,4.726185,289.95,"Oceania","Melanesia"
"117","NCL","New Caledonia",2022-07-07,0.262899971557204,0.262899971557204,4.726185,289.95,"Oceania","Melanesia"
"118","NCL","New Caledonia",2022-07-08,0.209188793782185,0.209188793782185,4.726185,289.95,"Oceania","Melanesia"
"119","NCL","New Caledonia",2022-07-09,0.100234216188211,0.100234216188211,4.726185,289.95,"Oceania","Melanesia"
"120","NCL","New Caledonia",2022-07-10,0.024700479235773,0.024700479235773,4.726185,289.95,"Oceania","Melanesia"
"121","PRI","Puerto Rico",2022-06-20,0.014740887792326,0.014740887792326,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"122","PRI","Puerto Rico",2022-06-21,0.0495985055587979,0.0495985055587979,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"123","PRI","Puerto Rico",2022-06-22,0.122484590824045,0.122484590824045,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"124","PRI","Puerto Rico",2022-06-23,0.216152555061459,0.216152555061459,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"125","PRI","Puerto Rico",2022-06-24,0.262899971557204,0.262899971557204,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"126","PRI","Puerto Rico",2022-06-25,0.209188793782185,0.209188793782185,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"127","PRI","Puerto Rico",2022-06-26,0.100234216188211,0.100234216188211,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"128","PRI","Puerto Rico",2022-06-27,0.024700479235773,0.024700479235773,109.6061159,3252.407,"Americas","Latin America and the Caribbean"
"129","PRY","Paraguay",2022-08-16,0.014740887792326,0.014740887792326,27.7,6780.744,"Americas","Latin America and the Caribbean"
"130","PRY","Paraguay",2022-08-17,0.0495985055587979,0.0495985055587979,27.7,6780.744,"Americas","Latin America and the Caribbean"
"131","PRY","Paraguay",2022-08-18,0.122484590824045,0.122484590824045,27.7,6780.744,"Americas","Latin America and the Caribbean"
"132","PRY","Paraguay",2022-08-19,0.216152555061459,0.216152555061459,27.7,6780.744,"Americas","Latin America and the Caribbean"
"133","PRY","Paraguay",2022-08-20,0.262899971557204,0.262899971557204,27.7,6780.744,"Americas","Latin America and the Caribbean"
"134","PRY","Paraguay",2022-08-21,0.209188793782185,0.209188793782185,27.7,6780.744,"Americas","Latin America and the Caribbean"
"135","PRY","Paraguay",2022-08-22,0.100234216188211,0.100234216188211,27.7,6780.744,"Americas","Latin America and the Caribbean"
"136","PRY","Paraguay",2022-08-23,0.024700479235773,0.024700479235773,27.7,6780.744,"Americas","Latin America and the Caribbean"
"137","RUS","Russia",2022-07-03,0.014740887792326,0.014740887792326,3053.4509254,144713.314,"Europe","Eastern Europe"
"138","RUS","Russia",2022-07-04,0.0495985055587979,0.0495985055587979,3053.4509254,144713.314,"Europe","Eastern Europe"
"139","RUS","Russia",2022-07-05,0.122484590824045,0.122484590824045,3053.4509254,144713.314,"Europe","Eastern Europe"
"140","RUS","Russia",2022-07-06,0.216152555061459,0.216152555061459,3053.4509254,144713.314,"Europe","Eastern Europe"
"141","RUS","Russia",2022-07-07,0.262899971557204,0.262899971557204,3053.4509254,144713.314,"Europe","Eastern Europe"
"142","RUS","Russia",2022-07-08,0.209188793782185,0.209188793782185,3053.4509254,144713.314,"Europe","Eastern Europe"
"143","RUS","Russia",2022-07-09,0.100234216188211,0.100234216188211,3053.4509254,144713.314,"Europe","Eastern Europe"
"144","RUS","Russia",2022-07-10,0.024700479235773,0.024700479235773,3053.4509254,144713.314,"Europe","Eastern Europe"
"145","ZAF","South Africa",2022-06-13,0.014740887792326,0.014740887792326,309.7,59893.885,"Africa","Sub-Saharan Africa"
"146","ZAF","South Africa",2022-06-14,0.0495985055587979,0.0495985055587979,309.7,59893.885,"Africa","Sub-Saharan Africa"
"147","ZAF","South Africa",2022-06-15,0.122484590824045,0.122484590824045,309.7,59893.885,"Africa","Sub-Saharan Africa"
"148","ZAF","South Africa",2022-06-16,0.216152555061459,0.216152555061459,309.7,59893.885,"Africa","Sub-Saharan Africa"
"149","ZAF","South Africa",2022-06-17,0.262899971557204,0.262899971557204,309.7,59893.885,"Africa","Sub-Saharan Africa"
"150","ZAF","South Africa",2022-06-18,0.209188793782185,0.209188793782185,309.7,59893.885,"Africa","Sub-Saharan Africa"
"151","ZAF","South Africa",2022-06-19,0.100234216188211,0.100234216188211,309.7,59893.885,"Africa","Sub-Saharan Africa"
"152","ZAF","South Africa",2022-06-20,0.024700479235773,0.024700479235773,309.7,59893.885,"Africa","Sub-Saharan Africa"
